num,label,url
265,ransomware,27lelchgcvs2wpm7.3lhjyx.top
266,ransomware,52uo5k3t73ypjije.twz1ga.top
267,ransomware,52uo5k3t73ypjije.tzgwdf.top
268,ransomware,www.chromehakc.top
269,ransomware,52uo5k3t73ypjije.pap44w.top
270,ransomware,cerberhhyed5frqa.gkfit9.top
271,ransomware,qfjhpgbefuhenjp7.16g9ub.top
272,ransomware,avsxrcoq2q5fgrw2.8l4jpw.top
273,ransomware,vyohacxzoue32vvk.b14kkk.bid
274,ransomware,4kqd3hmqgptupi3p.gameswarm.loan
275,ransomware,uhgmnigjpf.biz
276,ransomware,qfjhpgbefuhenjp7.12u5fl.top
277,ransomware,bddadevlpkwrrmud.xyz
278,ransomware,unocl45trpuoefft.m33d4b.bid
279,ransomware,4kqd3hmqgptupi3p.heardbids.date
280,ransomware,vyohacxzoue32vvk.3m370u.top
281,ransomware,hjhqmbxyinislkkt.1fnjrj.top
282,ransomware,rrcspgfghsjnklts.pw
283,ransomware,unocl45trpuoefft.18xhww.bid
284,ransomware,pe2cku7pebkpgeko.ttx0ig.top
285,ransomware,p27dokhpz2n7nvgr.12a63k.top
286,ransomware,wjtqjleommc4z46i.249isv.bid
287,ransomware,4kqd3hmqgptupi3p.termprior.men
288,ransomware,unocl45trpuoefft.efebgv.bid
289,ransomware,hjhqmbxyinislkkt.13fmby.top
290,ransomware,ahuqfrqk54v3vnzj.45yu0p.bid
291,ransomware,52uo5k3t73ypjije.9nj8ex.top
292,ransomware,52uo5k3t73ypjije.2gbbja.top
293,ransomware,vyohacxzoue32vvk.ug6ewx.top
294,ransomware,ffoqr3ug7m726zou.gwz8gh.top
295,ransomware,hjhqmbxyinislkkt.16l1zt.top
296,ransomware,4kqd3hmqgptupi3p.inforcing.pw
297,ransomware,52uo5k3t73ypjije.rv50gt.bid
298,ransomware,hjhqmbxyinislkkt.13qgdd.top
299,ransomware,vyohacxzoue32vvk.axu3u8.bid
300,ransomware,gfkuwflbhsjdabnu4nfukerfqwlfwr4rw.ringbalor.com
301,ransomware,ffoqr3ug7m726zou.zpjpsf.top
302,ransomware,cxlgwofgrjfoaa.info
303,ransomware,unocl45trpuoefft.ptneek.bid
304,ransomware,fmirgordkhig.xyz
305,ransomware,uhhvhjqowpgopq.xyz
306,ransomware,oqwygprskqv65j72.1gam57.top
307,ransomware,rbg4hfbilrf7to452p89hrfq.boonmower.com
308,ransomware,52uo5k3t73ypjije.x2kl7t.top
309,ransomware,4kqd3hmqgptupi3p.pushstory.bid
310,ransomware,52uo5k3t73ypjije.ojesoa.bid
311,ransomware,unocl45trpuoefft.p1gneb.bid
312,ransomware,de2nuvwegoo32oqv.torfigth.li
313,ransomware,52uo5k3t73ypjije.a2uzpe.top
314,ransomware,4kqd3hmqgptupi3p.143h2a.top
315,ransomware,vyohacxzoue32vvk.c4cwr4.bid
316,ransomware,rzss2zfue73dfvmj.truewargame.ch
317,ransomware,de2nuvwegoo32oqv.tortodorf.li
318,ransomware,avsxrcoq2q5fgrw2.lbxvhk.top
319,ransomware,wqxvsxppjivs.pw
320,ransomware,mz7oyb3v32vshcvk.getstar.li
321,ransomware,vyohacxzoue32vvk.zmn16h.top
322,ransomware,4kqd3hmqgptupi3p.powersno.link
323,ransomware,fnmi62725zfti2vy.p9wol3.top
324,ransomware,k234s.ascotsprue.com
325,ransomware,unocl45trpuoefft.hawtzr.bid
326,ransomware,real346real.top
327,ransomware,52uo5k3t73ypjije.5zxii2.bid
328,ransomware,unocl45trpuoefft.p4sr76.top
329,ransomware,4kqd3hmqgptupi3p.wz139z.top
330,ransomware,unocl45trpuoefft.4bb9vz.bid
331,ransomware,p27dokhpz2n7nvgr.12hxjv.top
332,ransomware,lyrnvane.pw
333,ransomware,ffoqr3ug7m726zou.1feasu.top
334,ransomware,4kqd3hmqgptupi3p.insystem.men
335,ransomware,wjtqjleommc4z46i.54vw9b.bid
336,ransomware,kciylimohteftc.pw
337,ransomware,uiredn4njfsa4234bafb32ygjdawfvs.frascuft.com
338,ransomware,hjhqmbxyinislkkt.1gunao.top
339,ransomware,wjtqjleommc4z46i.44vva6.bid
340,ransomware,hjhqmbxyinislkkt.19xvyd.top
341,ransomware,xpcx6erilkjced3j.16hwwh.top
342,ransomware,xyhhuxa.be
343,ransomware,de2nuvwegoo32oqv.tordrims.li
344,ransomware,unocl45trpuoefft.givxuf.bid
345,ransomware,wjtqjleommc4z46i.nh47ri.bid
346,ransomware,4kqd3hmqgptupi3p.4k9xlx.top
347,ransomware,27lelchgcvs2wpm7.bestfordownload.click
348,ransomware,unocl45trpuoefft.308an1.top
349,ransomware,p27dokhpz2n7nvgr.16bwhs.top
350,ransomware,pmenboeqhyrpvomq.9ildst.top
351,ransomware,pmenboeqhyrpvomq.nh47ri.bid
352,ransomware,p27dokhpz2n7nvgr.12ulcz.top
353,ransomware,lfdachijzuwx4bc4.zreknv.bid
354,ransomware,pornohd24.com
355,ransomware,p27dokhpz2n7nvgr.12smak.top
356,ransomware,wjtqjleommc4z46i.uv39h5.bid
357,ransomware,cerberhhyed5frqa.dkrti5.top
358,ransomware,wjtqjleommc4z46i.kyjw0g.bid
359,ransomware,52uo5k3t73ypjije.pop81.com
360,ransomware,2gdb4.leoraorage.at
361,ransomware,cerberhhyed5frqa.cmr95i.top
362,ransomware,ahuqfrqk54v3vnzj.l7g2sv.bid
363,ransomware,qbqrfyeqqvcvv.pw
364,ransomware,pmenboeqhyrpvomq.e6in0v.top
365,ransomware,wjtqjleommc4z46i.u36ik0.bid
366,ransomware,unocl45trpuoefft.nz6emv.bid
367,ransomware,unocl45trpuoefft.he81tz.bid
368,ransomware,unocl45trpuoefft.rie9py.bid
369,ransomware,vujqbcditgsqxe.fr
370,ransomware,4kqd3hmqgptupi3p.hotcopies.bid
371,ransomware,stgg5jv6mqiibmax.torking.li
372,ransomware,ojmekzw4mujvqeju.minitili.at
373,ransomware,wjtqjleommc4z46i.cdyd2z.bid
374,ransomware,27lelchgcvs2wpm7.xmvr54.top
375,ransomware,qfjhpgbefuhenjp7.1e1y8p.top
376,ransomware,4kqd3hmqgptupi3p.nxmu0x.bid
377,ransomware,avsxrcoq2q5fgrw2.tjdup0.top
378,ransomware,pe2cku7pebkpgeko.pkx86a.top
379,ransomware,ffoqr3ug7m726zou.hzrekn.top
380,ransomware,pmenboeqhyrpvomq.cmri58.top
381,ransomware,ffoqr3ug7m726zou.2fu7bc.top
382,ransomware,hjhqmbxyinislkkt.1xynaz.top
383,ransomware,hjhqmbxyinislkkt.1jmip6.top
384,ransomware,jfmiondv.xyz
385,ransomware,52uo5k3t73ypjije.kas17.com
386,ransomware,oqwygprskqv65j72.1kh9ct.top
387,ransomware,52uo5k3t73ypjije.uwazu7.bid
388,ransomware,lfdachijzuwx4bc4.af38vz.top
389,ransomware,pmenboeqhyrpvomq.p8rruv.top
390,ransomware,4kqd3hmqgptupi3p.holescase.pw
391,ransomware,52uo5k3t73ypjije.whosewine.lol
392,ransomware,p27dokhpz2n7nvgr.1cknbd.top
393,ransomware,p27dokhpz2n7nvgr.13upnc.top
394,ransomware,52uo5k3t73ypjije.bipa9k.bid
395,ransomware,vyohacxzoue32vvk.dgjpgy.top
396,ransomware,vyohacxzoue32vvk.jnv1df.top
397,ransomware,hjhqmbxyinislkkt.1b8tmn.top
398,ransomware,stevnxwq.pw
399,ransomware,vyohacxzoue32vvk.23fvxw.bid
400,ransomware,unocl45trpuoefft.awspm2.top
401,ransomware,52uo5k3t73ypjije.o5xcnd.bid
402,ransomware,vpuroeit.pw
403,ransomware,ahuqfrqk54v3vnzj.9sfk22.bid
404,ransomware,bciuemfaapyf.biz
405,ransomware,twbers4hmi6dc65f.onion.to
406,ransomware,4kqd3hmqgptupi3p.62er3d.top
407,ransomware,52uo5k3t73ypjije.x3nnbd.top
408,ransomware,pmenboeqhyrpvomq.afteghonte.lol
409,ransomware,zjfq4lnfbs7pncr5.tor2web.org
410,ransomware,ahuqfrqk54v3vnzj.ewg6uf.bid
411,ransomware,unocl45trpuoefft.ukwnvw.bid
412,ransomware,avsxrcoq2q5fgrw2.17vj7b.top
413,ransomware,52uo5k3t73ypjije.pfija1.bid
414,ransomware,sqsigig.pw
415,ransomware,cudcfybkk.pw
416,ransomware,hjhqmbxyinislkkt.1mswjm.top
417,ransomware,unocl45trpuoefft.jnd0bj.bid
418,ransomware,pmenboeqhyrpvomq.0nyi6l.bid
419,ransomware,wjtqjleommc4z46i.nnbdlh.bid
420,ransomware,ojmekzw4mujvqeju.dreamtest.at
421,ransomware,pmenboeqhyrpvomq.xneyvm.top
422,ransomware,vyohacxzoue32vvk.zn90h4.bid
423,ransomware,unocl45trpuoefft.j8exy2.bid
424,ransomware,wjtqjleommc4z46i.n8ln0w.bid
425,ransomware,52uo5k3t73ypjije.j8873f.bid
426,ransomware,unocl45trpuoefft.6w3rkc.bid
427,ransomware,ffoqr3ug7m726zou.v0xn1i.bid
428,ransomware,4kqd3hmqgptupi3p.dmvute.top
429,ransomware,p54dhkus4tlkfashdb6vjetgsdfg.greetingshere.at
430,ransomware,p27dokhpz2n7nvgr.1bj4k9.top
431,ransomware,p27dokhpz2n7nvgr.13wm9b.top
432,ransomware,4kqd3hmqgptupi3p.themevery.win
433,ransomware,52uo5k3t73ypjije.csv7o6.bid
434,ransomware,unocl45trpuoefft.54drms.bid
435,ransomware,ftoxmpdipwobp4qy.10nzk9.top
436,ransomware,4kqd3hmqgptupi3p.mi3596.bid
437,ransomware,pmenboeqhyrpvomq.self56.top
438,ransomware,vcabbvhrqhot.pw
439,ransomware,mz7oyb3v32vshcvk.toysworlds.at
440,ransomware,vyohacxzoue32vvk.8g1k17.bid
441,ransomware,vyohacxzoue32vvk.jwi2ek.bid
442,ransomware,ohplsuljopekq.biz
443,ransomware,ibtfqftkgi.pw
444,ransomware,hrfgd74nfksjdcnnklnwefvdsf.materdunst.com
445,ransomware,unocl45trpuoefft.k56185.top
446,ransomware,52uo5k3t73ypjije.cmfkru.top
447,ransomware,52uo5k3t73ypjije.xtppp8.bid
448,ransomware,uxwavkmttywsuynt.pw
449,ransomware,2ymh2gnnbg6pgq2r.gremsot.pl
450,ransomware,p27dokhpz2n7nvgr.1cglxz.top
451,ransomware,avsxrcoq2q5fgrw2.13inb1.top
452,ransomware,oqwygprskqv65j72.1dofqx.top
453,ransomware,clhyelmwnuqhigecp.pw
454,ransomware,ffoqr3ug7m726zou.ud9z0v.top
455,ransomware,p27dokhpz2n7nvgr.1mwipu.top
456,ransomware,52uo5k3t73ypjije.1ufr2v.bid
457,ransomware,ftoxmpdipwobp4qy.17vj7b.top
458,ransomware,p27dokhpz2n7nvgr.1kq4l8.top
459,ransomware,xrhwryizf5mui7a5.vgxcci.top
460,ransomware,vyohacxzoue32vvk.ncw0rp.top
461,ransomware,vyohacxzoue32vvk.pr52ni.top
462,ransomware,unocl45trpuoefft.2y4t6f.bid
463,ransomware,www.flowerxpo.top
464,ransomware,tt54rfdjhb34rfbnknaerg.milerteddy.com
465,ransomware,52uo5k3t73ypjije.yn8krm.bid
466,ransomware,52uo5k3t73ypjije.i8zh1k.bid
467,ransomware,52uo5k3t73ypjije.goztus.bid
468,ransomware,unocl45trpuoefft.lio2wr.bid
469,ransomware,i3ezlvkoi7fwyood.tor2web.org
470,ransomware,x5sbb5gesp6kzwsh.frontymen.pl
471,ransomware,52uo5k3t73ypjije.uw3r6a.top
472,ransomware,4kqd3hmqgptupi3p.bestergo.pw
473,ransomware,jhdgh.club
474,ransomware,ffoqr3ug7m726zou.tx0igu.bid
475,ransomware,4kqd3hmqgptupi3p.clockhate.loan
476,ransomware,p27dokhpz2n7nvgr.17gvad.top
477,ransomware,wjtqjleommc4z46i.fw1bwy.bid
478,ransomware,unocl45trpuoefft.igpfcu.bid
479,ransomware,renaulrtcenturytrick.top
480,ransomware,ffoqr3ug7m726zou.ukswcu.bid
481,ransomware,unocl45trpuoefft.x9le66.top
482,ransomware,p27dokhpz2n7nvgr.1fgywm.top
483,ransomware,igoodsnd.wang
484,ransomware,lfdachijzuwx4bc4.ci221p.top
485,ransomware,pmenboeqhyrpvomq.gletterstan.trade
486,ransomware,ffoqr3ug7m726zou.f5x6ws.top
487,ransomware,www.newtonpaiva.br
488,ransomware,4kqd3hmqgptupi3p.sel7rg.bid
489,ransomware,p27dokhpz2n7nvgr.15nhsf.top
490,ransomware,52uo5k3t73ypjije.1pma4t.bid
491,ransomware,unocl45trpuoefft.noyl9o.bid
492,ransomware,hjhqmbxyinislkkt.13kn4l.top
493,ransomware,pe2cku7pebkpgeko.reu88i.top
494,ransomware,qfjhpgbefuhenjp7.17xukb.top
495,ransomware,gguaxufrt.pw
496,ransomware,f4dsbjhb45wfiuqeib4fkqeg.meccaledgy.at
497,ransomware,oqwygprskqv65j72.1mudaw.top
498,ransomware,52uo5k3t73ypjije.myurv5.bid
499,ransomware,unocl45trpuoefft.ahhc36.top
500,ransomware,ffoqr3ug7m726zou.w67y8u.bid
501,ransomware,hjhqmbxyinislkkt.17kc8y.top
502,ransomware,rastypasty34.top
503,ransomware,qdesslfdcmd.pw
504,ransomware,unocl45trpuoefft.vfuvsv.bid
505,ransomware,ffoqr3ug7m726zou.iocvou.top
